service_id,date,exception_type
001-18-0850102024-M#FR,20241014,2
001-18-0850102024-M#FR,20241021,2
001-18-0950102024-M#FR,20241007,2
001-18-0950102024-M#FR,20241010,2
001-18-0950102024-M#FR,20241014,2
001-18-0950102024-M#FR,20241017,2
001-18-0950102024-M#FR,20241021,2
001-18-0950102024-M#FR,20241024,2
001-18-0950102024-M#FR,20241027,2
001-2-0620102024-M#FR,20241014,2
001-2-0620102024-M#FR,20241021,2
001-2-0720102024-M#FR,20241007,2
001-2-0720102024-M#FR,20241010,2
001-2-0720102024-M#FR,20241014,2
001-2-0720102024-M#FR,20241017,2
001-2-0720102024-M#FR,20241021,2
001-2-0720102024-M#FR,20241024,2
001-2-0720102024-M#FR,20241027,2
001-26-1230102024-M#FR,20241017,2
001-26-1230102024-M#FR,20241024,2
001-26-1315102024-M#FR,20241003,2
001-26-1315102024-M#FR,20241010,2
001-26-1330102024-M#FR,20241007,2
001-26-1330102024-M#FR,20241010,2
001-26-1330102024-M#FR,20241014,2
001-26-1330102024-M#FR,20241017,2
001-26-1330102024-M#FR,20241021,2
001-26-1330102024-M#FR,20241024,2
001-26-1330102024-M#FR,20241027,2
001-29-1200102024-FR#M,20241014,2
001-29-1200102024-FR#M,20241021,2
001-29-1300102024-FR#M,20241007,2
001-29-1300102024-FR#M,20241010,2
001-29-1300102024-FR#M,20241014,2
001-29-1300102024-FR#M,20241017,2
001-29-1300102024-FR#M,20241021,2
001-29-1300102024-FR#M,20241024,2
001-29-1300102024-FR#M,20241027,2
001-29-1325102024-FR#M,20241007,2
001-3-0555102024-FR#M,20241017,2
001-3-0555102024-FR#M,20241024,2
001-3-0655102024-FR#M,20241003,2
001-3-0655102024-FR#M,20241007,2
001-3-0655102024-FR#M,20241010,2
001-3-0655102024-FR#M,20241014,2
001-3-0655102024-FR#M,20241021,2
001-3-0655102024-FR#M,20241027,2
001-3-0655102024-FR#M,20241029,2
001-3-0655102024-FR#M,20241030,2
001-35-1430102024-FR#M,20241014,2
001-35-1430102024-FR#M,20241021,2
001-35-1530102024-FR#M,20241007,2
001-35-1530102024-FR#M,20241010,2
001-35-1530102024-FR#M,20241014,2
001-35-1530102024-FR#M,20241017,2
001-35-1530102024-FR#M,20241021,2
001-35-1530102024-FR#M,20241024,2
001-35-1530102024-FR#M,20241027,2
001-38-1505102024-M#FR,20241017,2
001-38-1505102024-M#FR,20241024,2
001-5-0830102024-FR#M,20241017,2
001-5-0830102024-FR#M,20241024,2
001-8-0750102024-M#FR,20241007,2
006-8-1620082024-M#ZH,20240812,2
007-72-0615062024-HH#ZH,20240604,2
007-72-0615062024-HH#ZH,20240605,2
007-73-0500062024-ZH#HH,20240604,2
007-73-0500062024-ZH#HH,20240605,2
008-22-0335072024-TU#FR,20240703,2
008-22-0335072024-TU#FR,20240710,2
008-22-0335092024-RTL#FR,20240911,2
008-22-0335092024-RTL#FR,20240918,2
008-22-0335092024-RTL#FR,20240925,2
008-22-0335102024-RTL#FR,20241008,2
008-22-0335102024-RTL#FR,20241015,2
008-22-0335102024-RTL#FR,20241022,2
008-3-0900072024-FR#STF,20240703,2
008-3-0900072024-FR#STF,20240710,2
008-3-0900092024-FR#STF,20240911,2
008-3-0900092024-FR#STF,20240918,2
008-3-0900092024-FR#STF,20240925,2
008-3-0900102024-FR#STF,20241008,2
008-3-0900102024-FR#STF,20241015,2
008-3-0900102024-FR#STF,20241022,2
008-6-1210072024-STF#FR,20240703,2
008-6-1210072024-STF#FR,20240710,2
008-6-1210092024-STF#FR,20240911,2
008-6-1210092024-STF#FR,20240918,2
008-6-1210092024-STF#FR,20240925,2
008-6-1210102024-STF#FR,20241008,2
008-6-1210102024-STF#FR,20241015,2
008-6-1210102024-STF#FR,20241022,2
008-7-1635072024-FR#TU,20240703,2
008-7-1635072024-FR#TU,20240710,2
008-7-1635092024-FR#RTL,20240911,2
008-7-1635092024-FR#RTL,20240918,2
008-7-1635092024-FR#RTL,20240925,2
008-7-1635102024-FR#RTL,20241008,2
008-7-1635102024-FR#RTL,20241015,2
008-7-1635102024-FR#RTL,20241022,2
025-1-0800062024-L#B,20240615,2
025-1-0800062024-L#B,20240622,2
025-13-1100062024-L#B,20240608,2
025-13-1100062024-L#B,20240609,2
025-20-1520062024-B#L,20240607,2
027-11-1045062024-M#E,20240605,2
027-11-1045062024-M#E,20240606,2
027-11-1045072024-M#E,20240717,2
027-11-1045072024-M#E,20240718,2
027-11-1045072024-M#E,20240724,2
027-11-1045072024-M#E,20240725,2
027-11-1045092024-M#E,20240904,2
027-11-1045092024-M#E,20240905,2
027-11-1045092024-M#E,20240911,2
027-11-1045092024-M#E,20240912,2
027-11-1045092024-M#E,20240918,2
027-11-1045092024-M#E,20240919,2
027-11-1045102024-M#E,20241009,2
027-11-1045102024-M#E,20241010,2
027-11-1045102024-M#E,20241016,2
027-11-1045102024-M#E,20241017,2
027-11-1045102024-M#E,20241023,2
027-11-1045102024-M#E,20241024,2
027-11-1145112024-M#E,20241109,2
027-11-1145112024-M#E,20241116,2
027-11-1145112024-M#E,20241123,2
027-13-0500072024-M#OL,20240715,2
027-13-0500072024-M#OL,20240716,2
027-13-0500072024-M#OL,20240717,2
027-13-0500072024-M#OL,20240722,2
027-13-0500072024-M#OL,20240723,2
027-13-0500072024-M#OL,20240724,2
027-13-0500092024-M#OL,20240902,2
027-13-0500092024-M#OL,20240903,2
027-13-0500092024-M#OL,20240904,2
027-13-0500092024-M#OL,20240909,2
027-13-0500092024-M#OL,20240910,2
027-13-0500092024-M#OL,20240911,2
027-13-0500092024-M#OL,20240916,2
027-13-0500092024-M#OL,20240917,2
027-13-0500092024-M#OL,20240918,2
027-13-0500102024-M#OL,20241008,2
027-13-0500102024-M#OL,20241009,2
027-13-0500102024-M#OL,20241015,2
027-13-0500102024-M#OL,20241016,2
027-13-0500102024-M#OL,20241022,2
027-13-0500102024-M#OL,20241023,2
027-29-1515072024-M#KA,20240702,2
027-29-1515072024-M#KA,20240709,2
027-29-1515072024-M#KA,20240716,2
